Released by,Pattern directory
Kevin/sarat,/projects/ga0/patterns/ams/dbg/pcs/CPV2/051525_3/PCS0_PHY0_pllbist_gen1_2_basic_051525_3.stil
Kevin/sarat,/projects/ga0/patterns/ams/dbg/pcs/CPV2/051525_3/PCS0_PHY0_pllbist_gen1_2_debug_widle_051525_3.stil
Samuel,/projects/ga0/patterns/func/prod/0516/load_pwc_051625_1.stil
Kevin,/projects/ga0/patterns/ams/dbg/pcs/CPV2/051625_1/PCS0_PHY0_pllbist_gen1_2_debug_idx_all_051625_1.stil
Kevin,/projects/ga0/patterns/ams/dbg/pcs/CPV2/051625_1/PCS0_PHY0_pllbist_gen1_2_debug_idx_end_051625_1.stil
Kevin,/projects/ga0/patterns/ams/dbg/pcs/CPV2/051625_1/PCS0_PHY0_pllbist_gen1_2_debug_idx_mid_051625_1.stil
Kevin,/projects/ga0/patterns/ams/dbg/pcs/CPV2/051625_1/PCS0_PHY0_pllbist_gen1_2_debug_idx_pre_051625_1.stil
Kevin,/projects/ga0/patterns/ams/dbg/pcs/CPV2/051625_1/rv_phy_pcs0_fw_load_patch_4_ahb_mex_051625_1.stil
Kevin,/projects/ga0/patterns/ams/dbg/pcs/CPV2/051625_1/rv_phy_pcs0_fw_load_patch_4_apb_mex_051625_1.stil
Kevin,/projects/ga0/patterns/ams/dbg/pcs/CPV2/051625_1/rv_phy_pcs0_fw_load_patch4_sanity_051625_1.stil
Kevin,/projects/ga0/patterns/ams/dbg/pcs/CPV2/051625_1/rv_phy_pcs0_fw_load_sanity_051625_1.stil
Delbert,/projects/ga0/patterns/ams/dbg/ddns/PMAD_BIST/051625_5/glink_phy0_PMAD_BIST_nearend_lpbk_051625_6.stil
Delbert,/projects/ga0/patterns/ams/dbg/ddns/PMAD_BIST/051625_5/glink_phy1_PMAD_BIST_nearend_lpbk_051625_6.stil
Delbert,/projects/ga0/patterns/ams/dbg/ddns/PMAD_BIST/051625_5/glink_phy2_PMAD_BIST_nearend_lpbk_051625_6.stil
Delbert,/projects/ga0/patterns/ams/dbg/ddns/PMAD_BIST/051625_5/glink_phy3_PMAD_BIST_nearend_lpbk_051625_6.stil
