Flow Name,Suite Name,Flow Location,Pattern Name
Contact_Test,OpenShort,OpenShort,OpenShort
GF_rva_dpa_grid_ddp_sub_grid_ddp_x3_sub_grid_x0_y3_PE54_ssn_loopback_NV,rv_top_pad_reset_40ns_042325_7,debug_0514_n1_Scan,rv_top_pad_reset_40ns_042325_7
GF_rva_dpa_grid_ddp_sub_grid_ddp_x3_sub_grid_x0_y3_PE54_ssn_loopback_NV,rv_top_volatilerawunlock_40ns_041625_3,debug_0514_n1_Scan,rv_top_volatilerawunlock_40ns_041625_3
GF_rva_dpa_grid_ddp_sub_grid_ddp_x3_sub_grid_x0_y3_PE54_ssn_loopback_NV,rv_scs_resetctn1ghz_tdr_40ns_050925_7,debug_0514_n1_Scan,rv_scs_resetctn1ghz_tdr_40ns_050925_7
GF_rva_dpa_grid_ddp_sub_grid_ddp_x3_sub_grid_x0_y3_PE54_ssn_loopback_NV,rv_ss_resetClkDef_tdr_40ns_042525_7,debug_0514_n1_Scan,rv_ss_resetClkDef_tdr_40ns_042525_7
GF_rva_dpa_grid_ddp_sub_grid_ddp_x3_sub_grid_x0_y3_PE54_ssn_loopback_NV,rva_dpa_grid_ddp_sub_grid_ddp_x3_sub_grid_x0_y3_PE54_ssn_loopback_NV,debug_0514_n1_Scan,rva_dpa_grid_ddp_sub_grid_ddp_x3_sub_grid_x0_y3_PE54_ssn_loopback_050725_1
GF_rva_dpa_grid_ddp_sub_grid_ddp_x3_sub_grid_x0_y3_PE54_int_sa_chain_edt_pl_NV,rv_top_pad_reset_40ns_042325_7,debug_0514_n1_Scan,rv_top_pad_reset_40ns_042325_7
GF_rva_dpa_grid_ddp_sub_grid_ddp_x3_sub_grid_x0_y3_PE54_int_sa_chain_edt_pl_NV,rv_top_volatilerawunlock_40ns_041625_3,debug_0514_n1_Scan,rv_top_volatilerawunlock_40ns_041625_3
GF_rva_dpa_grid_ddp_sub_grid_ddp_x3_sub_grid_x0_y3_PE54_int_sa_chain_edt_pl_NV,rv_scs_resetctn1ghz_tdr_40ns_050925_7,debug_0514_n1_Scan,rv_scs_resetctn1ghz_tdr_40ns_050925_7
GF_rva_dpa_grid_ddp_sub_grid_ddp_x3_sub_grid_x0_y3_PE54_int_sa_chain_edt_pl_NV,rv_ss_resetClkDef_tdr_40ns_042525_7,debug_0514_n1_Scan,rv_ss_resetClkDef_tdr_40ns_042525_7
GF_rva_dpa_grid_ddp_sub_grid_ddp_x3_sub_grid_x0_y3_PE54_int_sa_chain_edt_pl_NV,rva_dpa_grid_ddp_sub_grid_ddp_x3_sub_grid_x0_y3_PE54_int_sa_edt_ts_050725_1,debug_0514_n1_Scan,rva_dpa_grid_ddp_sub_grid_ddp_x3_sub_grid_x0_y3_PE54_int_sa_edt_ts_050725_1
