Target Suite,Flow Name,Suite Name,Flow Location,Pattern Name,Is Latest
rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_chain_edt,GF_rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_chain_edt_pl_NV,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_chain_edt_pl_NV,DEBUG_0502_NOON_Scan,rv_hcs_rvhcs_gdtub_dtu_0_bank_0_pdp_int_sa_chain_edt_pl_042825_1,Yes
rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_chain_edt,GF_rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_chain_edt_pl_NV,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_chain_edt_pl_NV,DEBUG_0430_Scan,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_chain_edt_pl_042825_1,No
rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_chain_edt,GF_rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_chain_edt_pl_NV,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_chain_edt_pl_NV,DEBUG_0502_Scan,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_chain_edt_pl_042825_1,No
rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_scan_edt,GF_rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_scan_edt_pl_NV,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_scan_edt_pl_NV,DEBUG_0502_NOON_Scan,rv_hcs_rvhcs_gdtub_dtu_0_bank_0_pdp_int_sa_scan_edt_pl_042825_1,Yes
rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_scan_edt,GF_rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_scan_edt_pl_NV,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_scan_edt_pl_NV,DEBUG_0430_Scan,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_scan_edt_pl_042825_1,No
rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_scan_edt,GF_rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_scan_edt_pl_NV,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_scan_edt_pl_NV,DEBUG_0502_Scan,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE0_int_sa_scan_edt_pl_042825_1,No
rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE1_int_sa_chain_edt,GF_rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE1_int_sa_chain_edt_pl_NV,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE1_int_sa_chain_edt_pl_NV,debug_0505_noon_scan,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE1_int_sa_chain_edt_pl_050225_1,Yes
rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE1_int_sa_scan_edt,GF_rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE1_int_sa_scan_edt_pl_NV,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE1_int_sa_scan_edt_pl_NV,debug_0505_noon_scan,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y0_PE1_int_sa_scan_edt_pl_050225_1,Yes
rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y1_PE2_int_sa_chain_edt,GF_rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y1_PE2_int_sa_chain_edt_pl_NV,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y1_PE2_int_sa_chain_edt_pl_NV,debug_0505_noon_scan,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y1_PE2_int_sa_chain_edt_pl_050225_1,Yes
rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y1_PE2_int_sa_scan_edt,GF_rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y1_PE2_int_sa_scan_edt_pl_NV,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y1_PE2_int_sa_scan_edt_pl_NV,debug_0505_noon_scan,rva_dpa_grid_ddp_sub_grid_ddp_x0_sub_grid_x0_y1_PE2_int_sa_scan_edt_pl_050225_1,Yes
